Z1,Z2,Z3,Z4,Z5,Z6,Z7,Y2
1.934229160035840334e+00,4.243179414300901620e-02,-7.140465327654490491e-01,-1.080811437127334962e+00,-6.018422451520151206e-01,-9.190571989118004881e-01,9.592406243522076659e-02,0.000000000000000000e+00
1.227480567182493321e+00,3.826332004829546829e-01,5.225421710712652157e-02,1.539741469377726713e-01,1.069414522228244735e+00,1.117236599733106628e+00,1.584883207548225537e-01,0.000000000000000000e+00
3.974627160413843896e-01,6.502009285290433205e-01,6.444728062415494563e-01,1.988704279390798080e+00,9.736703523478429378e-01,2.590046374183796463e-02,9.063425236479016878e-01,0.000000000000000000e+00
1.693582514371434700e+00,3.331682273487781010e-01,4.059544115283273413e-01,1.040568316958061068e+00,2.147909511254986747e-01,-6.503490660455821804e-01,8.805808120020884866e-01,0.000000000000000000e+00
9.133063977264999078e-01,2.958162021841314049e-01,-4.452933604470290518e-01,-3.774086413414503571e-01,1.048014474368163640e+00,1.494482278936956510e+00,6.977449007069892462e-01,0.000000000000000000e+00
2.234845822876672550e+00,9.046396637029439081e-01,9.297031609431349874e-01,1.548139861968270470e+00,6.252366759424593523e-01,-5.172400302874010647e-01,7.944829710739972350e-01,1.000000000000000000e+00
7.079286249737209991e-01,-3.539359855809189326e-01,1.654877213759606835e-01,-4.169657055200129414e-01,7.239189815596378530e-01,-1.298519984729618604e-01,1.217199841865608034e+00,0.000000000000000000e+00
1.341768858567812917e+00,3.867752395804985865e-01,2.132101951605025469e-01,5.444996261335446341e-01,7.669947459272786761e-01,1.024146336018235903e+00,5.651819350819631271e-01,0.000000000000000000e+00
8.456926263914105180e-01,-3.395674597495245695e-01,1.434700705191322978e-01,-3.909357838606820068e-01,1.048890632331398454e+00,7.411049733724373034e-01,9.229491536070759672e-01,0.000000000000000000e+00
2.077385708430649292e+00,-4.741005680299866243e-01,-1.525179179459916767e-01,-1.040430024607752912e+00,-8.040286280913262473e-01,-1.412841532706007097e+00,-2.095444814741239947e-01,0.000000000000000000e+00
1.782381241428481200e+00,4.204697823470873730e-01,2.898353785129699212e-01,1.343317082090924153e+00,9.325095903617834914e-01,-4.096902442150726631e-01,9.872308696159558528e-01,0.000000000000000000e+00
1.787778313633693328e+00,-3.523006599570912556e-01,-3.837515981223869055e-01,-8.861516187255201737e-01,-7.044168020695766863e-01,-7.299281823917629364e-01,3.939136462490780977e-01,0.000000000000000000e+00
1.832466671523280466e+00,9.420900636080870028e-01,-7.591894321587400185e-01,-1.046275468757563720e-01,1.153782347785394347e+00,1.713877286814649459e+00,4.681766182659863884e-01,1.000000000000000000e+00
1.008268966268890399e+00,2.033358561054571800e-01,-3.901660919884553103e-02,-8.015524910339733022e-02,6.610454868365004399e-01,1.331900841410249559e+00,3.117461942931109564e-01,0.000000000000000000e+00
1.255230210268997837e+00,-3.791928716442096170e-01,2.376015064587055914e-01,4.921717083313483787e-01,7.563698695064078326e-01,5.598893969618579103e-01,6.717334635631357909e-01,0.000000000000000000e+00
1.288786126903777252e+00,9.220200960609009622e-02,4.877374296509162654e-02,6.679626175418554856e-01,1.032048709652249485e+00,7.146615871660131347e-01,5.213477099305359186e-01,0.000000000000000000e+00
7.869042140679405328e-01,-2.909872336989521302e-01,2.606500585935878078e-02,-4.904224452824027525e-01,8.147648071535712466e-01,5.637798323696525671e-01,1.031365164476846452e+00,0.000000000000000000e+00
2.274878478505714785e+00,1.184549298705569242e+00,8.712828898881248563e-01,1.730910669623614950e+00,9.284058711791010055e-01,-5.056294427400334079e-01,7.707348094730518406e-01,0.000000000000000000e+00
9.179279000944404743e-01,1.026321945518129941e-01,-5.608650394418295271e-01,-4.437421438754532987e-01,7.307592476413478089e-01,8.966116677760865850e-01,6.631202572130705519e-01,0.000000000000000000e+00
5.631491612763189769e-01,2.131121209278240003e-01,-9.511092243967977922e-02,-3.951927252325556639e-01,1.086161355916398730e+00,4.403567239981954762e-01,1.119748871046633676e+00,0.000000000000000000e+00
9.562257764764026113e-01,-3.061947440334418791e-01,2.409827427735142802e-01,3.883650925174640944e-01,5.530783496265494481e-01,1.342116992681868792e-01,7.279807208626651871e-01,0.000000000000000000e+00
2.022518747422162200e+00,1.277186490171628996e+00,8.884248785387827141e-01,2.363199679845219059e+00,8.697348464195997497e-01,7.959842521883218058e-01,9.964966241292239069e-02,1.000000000000000000e+00
7.025362580407130686e-01,3.196199330448257214e-01,-7.836290841006883223e-01,-5.120382810254381356e-01,1.078483210363354372e+00,6.233282656962876311e-01,1.280590486545383211e+00,0.000000000000000000e+00
1.426170264965345158e+00,4.149480793771873066e-01,2.784976220318948759e-01,5.006146683882088944e-01,7.161259904026993084e-01,1.115922234902936516e+00,4.427148867787231157e-02,0.000000000000000000e+00
1.370356481976202412e+00,3.505997061850381069e-01,-4.296595708580934758e-01,-7.900826151234540129e-01,8.658769298782624801e-01,5.624090943197082026e-01,7.656394416815288650e-01,0.000000000000000000e+00
1.334099146724226026e+00,4.243312713630220667e-02,-6.224052965223898504e-01,-8.687996208345528659e-01,4.717611759974323360e-01,-1.467304668678897084e-01,7.615100105803940256e-01,0.000000000000000000e+00
2.796644417122236881e+00,8.916907117555011864e-01,9.601087277361435302e-01,1.234621540878364954e+00,6.361026885707714573e-01,2.427866853195139729e-01,4.023852835267249239e-01,1.000000000000000000e+00
1.621178621046101442e+00,3.782868047078532525e-01,4.757585293664938764e-01,1.329817825678443644e+00,1.660035074056222526e-01,-9.708018236607074414e-01,1.005806963228110806e+00,0.000000000000000000e+00
9.739287996922826318e-01,1.648788215300938942e-01,-2.132846485737458497e-01,-6.594474929236315841e-03,8.330311499059286362e-01,1.302730443295877283e+00,3.026431820068588019e-01,0.000000000000000000e+00
1.886862334783704576e+00,5.357818151313440413e-01,4.878948943845300423e-01,1.132683228379140150e+00,7.221773687576367173e-01,2.891058396354763138e-01,9.821610209022670901e-01,0.000000000000000000e+00
9.808552175659670525e-01,-3.154336745294197830e-01,1.704089214446988798e-01,1.217949112145898516e-01,9.737455253071369832e-01,7.734367617416670893e-01,6.021900706085699939e-01,0.000000000000000000e+00
1.187168387315228113e+00,1.900006399675627927e-02,-1.627564852420841923e-01,-5.475951802473489893e-01,9.273648854041587342e-01,7.498982308837389699e-01,6.557914040126211486e-01,1.000000000000000000e+00
8.396385363720679784e-01,1.608730330650798845e-01,2.449676461863210530e-01,4.594720518029351553e-01,1.093174295042381061e+00,7.365326954340718490e-01,8.069699006312596179e-01,0.000000000000000000e+00
1.303539840400687044e+00,1.185911775553527558e-02,6.897168500696260196e-01,1.490079912453358801e+00,2.980166309990142648e-01,-4.807990959956836008e-01,1.107967260965109446e+00,0.000000000000000000e+00
1.527582479200521925e+00,2.918571811161074780e-01,3.961871272449071224e-01,8.353812784968599470e-01,8.732933576482031501e-01,3.020514198700414155e-01,7.730331544751217754e-01,0.000000000000000000e+00
1.693869633296766208e+00,4.527037648194153219e-01,4.467300860687455355e-01,1.435858863735189450e+00,5.237674400538583352e-01,-6.520850811774112632e-01,9.307808532479541208e-01,0.000000000000000000e+00
2.813122191237263703e+00,8.692072528477264859e-01,8.573402653017385688e-01,1.277807522858770195e+00,9.473902710154118445e-01,2.985136717137903961e-01,1.393315153989522770e-01,0.000000000000000000e+00
1.407404444610980798e+00,6.814473345709984864e-01,7.052344612520948797e-01,1.728568549197423643e+00,7.171647853288494190e-01,-4.335037327905784110e-01,7.741666667784701250e-01,1.000000000000000000e+00
1.312752657851760985e+00,5.393262168759348496e-01,9.221630013504411583e-01,1.607032754646570805e+00,7.626280338330492237e-01,-6.113473932442853309e-01,1.058198056173798474e+00,1.000000000000000000e+00
1.914897012307702262e+00,-1.080342509343013013e-01,-5.291784017962430919e-01,-1.303454719923618832e+00,-8.181769285662714442e-01,-8.662905407332079921e-01,-8.091085649671428404e-02,0.000000000000000000e+00
1.006468013828001551e+00,1.207447402917010415e-01,-2.321696392514980278e-01,6.664800789977243234e-02,7.004489975770916699e-01,1.361306316452236764e+00,1.665384221796822883e-01,1.000000000000000000e+00
1.046551512936682249e+00,3.625874740060489598e-01,-4.718470081663492799e-01,-2.748782734340728950e-01,9.535286400679572338e-01,1.592971249018107160e+00,4.160880513000491110e-01,0.000000000000000000e+00
1.804969771410124046e+00,-3.873625780078218117e-01,-1.496395794875522434e-01,-1.010470572558941793e+00,-8.399999379152127688e-01,-1.121371198324240481e+00,5.082769902314581145e-01,0.000000000000000000e+00
1.763992584058698965e+00,3.625582331263865754e-01,7.939642576921330797e-01,1.028434066332045038e+00,5.340352080256427492e-01,1.431720291007528845e-01,5.670894544723604769e-01,1.000000000000000000e+00
9.279569051324106921e-01,-1.061707899809993250e-01,3.889932041368622251e-01,1.766983693325338001e-01,8.630772691522076157e-01,6.720774879760510467e-01,4.121812586546353963e-01,0.000000000000000000e+00
1.527361897612630637e+00,7.879511621923871445e-01,-6.398861887586368979e-01,-3.824389163031383099e-01,1.117445432262635485e+00,1.673710802730357106e+00,7.246673025517940125e-01,0.000000000000000000e+00
1.335872775571815163e+00,-2.058890398541981248e-01,4.455680290955246203e-01,7.587333483892704233e-01,5.009267448421945712e-01,-4.121745814114285977e-02,7.622518679769042516e-01,1.000000000000000000e+00
1.034190792583969065e+00,4.669028719997704302e-01,-5.144914539000859932e-01,-6.760291600451409089e-01,1.144410169264592492e+00,8.710023064341089194e-01,1.092974567027060750e+00,0.000000000000000000e+00
2.056034292990012169e+00,5.687184297306639991e-01,7.892731584085739271e-01,1.266469795571191437e+00,8.806499815014983135e-01,-1.776222113504841715e-01,8.679403446278294298e-01,0.000000000000000000e+00
7.611343690110947691e-01,-1.115608710838627698e-01,7.890201160608589781e-02,2.867490356835418197e-01,9.625123449943856491e-01,6.656894426492901973e-01,7.956702351552858987e-01,0.000000000000000000e+00
1.345539566829973666e+00,5.530977962937945192e-01,7.804762386192263257e-01,1.614865050660434953e+00,7.557573940678039559e-01,-7.172280308541650884e-01,1.123114357247327222e+00,0.000000000000000000e+00
1.740624520174378187e+00,-3.845407203156013809e-01,-1.361479330511610186e-01,-9.849526348374599838e-01,-3.689654882296533600e-02,-3.286819669713839653e-01,6.495275711151229370e-01,0.000000000000000000e+00
1.305844068277859815e+00,-8.147303411153267172e-02,5.653202376981132371e-01,4.509261329528502227e-01,4.970227285104183990e-01,9.524595756854098427e-01,-5.697208240618209518e-02,0.000000000000000000e+00
1.872445974911493671e+00,-1.666901857043667778e-01,-5.760720083988875029e-01,-1.367810768895451279e+00,-6.425785230998515285e-01,-9.205574657990269749e-01,3.000353809499898272e-01,0.000000000000000000e+00
1.231797177914995878e+00,1.878848395954131889e-01,7.312594349573808827e-02,7.006260361388827462e-01,1.087347790559268335e+00,4.454165111721664072e-01,7.761609693025828260e-01,0.000000000000000000e+00
8.747655121864368333e-01,3.913740926539277520e-01,-8.605659380009971215e-01,-4.523553837151675916e-01,7.616424709026895501e-01,6.956292745002912170e-01,1.102171009148896985e+00,0.000000000000000000e+00
1.592272684421274231e+00,3.569203664809673660e-01,3.022244953062642736e-01,1.067908720439124437e+00,1.001178405053234854e+00,2.172202782198537907e-01,9.746456351030365894e-01,0.000000000000000000e+00
8.544439619681148956e-01,6.474228488968086781e-01,-9.837635252141949671e-01,-3.583694853961698623e-01,1.192770149104152688e+00,1.477656386686706291e+00,1.154395893285090180e+00,0.000000000000000000e+00
