Z1,Z2,Z3,Z4,Z5,Z6,Z7,Y2
1.207487112662862128e+00,4.256364087528790030e-01,-7.730230562127009541e-01,-4.471656502764675967e-01,8.886105351732571656e-01,8.078233541282412444e-01,7.319145970613075702e-01,2.000000000000000000e+00
1.640600318965484750e+00,1.004878807466474289e+00,9.489661888729132855e-01,1.767482074299429051e+00,1.053276813872084050e+00,-3.953391494151359264e-01,9.880334225692554151e-01,1.000000000000000000e+00
1.164097197404142969e+00,2.436846207239112827e-02,4.574692670022124652e-01,1.108659597045439149e+00,5.791821150569300691e-01,-2.285737026114987858e-01,1.251670650272304286e+00,1.000000000000000000e+00
9.677067373328508415e-01,3.833656406802397609e-01,-2.970643882145971304e-01,-6.663848566237595694e-02,7.424302622019857134e-01,1.635706076347437143e+00,4.876950523369209534e-01,2.000000000000000000e+00
9.773408035192998611e-01,-2.462249930172458745e-01,4.152102765181620025e-01,4.284595788761490498e-01,6.218003982059934209e-01,4.355400090360435073e-01,7.453806201890098571e-01,1.000000000000000000e+00
1.882712197870466619e+00,3.706359300095224962e-01,5.992092033201077417e-01,1.149488747017650914e+00,8.291789993998832653e-01,-1.514927098825032958e-01,7.310945892954637815e-01,1.000000000000000000e+00
1.415907109892006854e+00,3.732335512615598261e-01,2.911237090165850194e-01,6.984799137651319656e-01,9.495421721109202906e-01,4.518286678504623843e-01,5.735729778957779912e-01,1.000000000000000000e+00
1.136437018211216898e+00,-1.743851200790221267e-01,-1.708007856236672950e-01,-7.920664176705810577e-01,4.904357923977434308e-01,-6.216372847991824546e-02,9.805463146968915744e-01,2.000000000000000000e+00
1.400963284272496612e+00,1.580445531424337635e-02,4.120620225460183139e-01,1.018342451432284967e+00,4.325683884751543307e-01,-5.238065610163372687e-01,1.087971519126034847e+00,1.000000000000000000e+00
1.446108858504941086e+00,5.422026999097422362e-01,-5.067012364507161859e-01,-6.821684331096592446e-01,9.825556509053241516e-01,3.556560015264818020e-01,9.108386272349757729e-01,2.000000000000000000e+00
8.990393447220670353e-01,2.631637143394058298e-01,-4.880151374040753165e-01,-6.194252355737520643e-01,7.872221146768129119e-01,4.483006282575965340e-01,1.167018673792846961e+00,2.000000000000000000e+00
1.271889686497698069e+00,4.963959597204212759e-01,-9.519772917092781395e-01,-6.383894570746556640e-01,7.131519154803518390e-01,1.109304897276392365e+00,9.417404127965447458e-01,2.000000000000000000e+00
1.598568783601095777e+00,3.548016673925588060e-01,-8.025480903023789470e-01,-9.644326465239786428e-01,7.116903304318984436e-01,7.009797111680166060e-02,7.148601972891248657e-01,2.000000000000000000e+00
1.229503133856668651e+00,6.207687677915219027e-01,-3.991271292774232204e-01,-2.795010852303425608e-02,9.145214215894921228e-01,1.206494775413856413e+00,3.924351321925935165e-01,2.000000000000000000e+00
1.718022419679257728e+00,2.323485079407045240e-01,2.817113556208514780e-01,1.164685687378175682e+00,6.926946785369845205e-01,-4.396420226994868785e-01,8.117794836493748001e-01,1.000000000000000000e+00
1.229908011986757144e+00,-2.416797535542669628e-01,-3.555841038610421112e-01,-7.666840625577265866e-01,7.831725080817525386e-02,-2.357062764352458317e-01,7.771989896977733459e-01,2.000000000000000000e+00
1.080770150875224100e+00,5.933726889318864384e-01,-6.290117238482191286e-01,-7.893996472466024983e-03,8.136647404760550817e-01,1.683675466348086402e+00,6.240486297702378948e-01,2.000000000000000000e+00
5.586475619620634436e-01,5.625065855866960840e-01,8.343870980750291988e-01,1.834650812439411194e+00,8.499904795870798502e-01,-4.227906418463053262e-01,1.158872064118112499e+00,1.000000000000000000e+00
1.053181347586909844e+00,3.197363639109565003e-01,-4.581583932504600387e-01,-1.015060382814932938e-01,6.784623004952303749e-01,1.157490275945106006e+00,4.724324726665584118e-01,1.000000000000000000e+00
1.826410633988847065e+00,-1.405370827374442244e-01,-4.529042168050625428e-01,-1.405235806952561450e+00,-6.780382862881679795e-01,-9.136958402151303948e-01,2.031003020973011497e-01,2.000000000000000000e+00
1.820828301259293180e+00,1.244196793268852463e+00,9.088253647970854221e-01,2.330213912429812240e+00,1.029211566667232347e+00,9.963614583816854386e-01,-3.881803274440315255e-02,1.000000000000000000e+00
1.351143283177851373e+00,6.405625542965973640e-01,-7.457708578818729173e-01,-7.326099215865624625e-01,9.609219352690423488e-01,8.374138248964156928e-01,1.177946152180371575e+00,2.000000000000000000e+00
1.663726511601235192e+00,1.650879356908385720e-04,4.945296997587422805e-01,1.083416954541923438e+00,1.688207032803997198e-01,-4.731659310052124257e-01,8.270157319077018343e-01,1.000000000000000000e+00
1.890672918328919483e+00,8.276683156712086875e-01,-9.895240886021947624e-01,-6.778312098374227324e-01,7.193075215459874272e-01,1.075731085919891639e+00,7.395076682367924814e-01,1.000000000000000000e+00
1.943885174444135666e+00,4.807613126478462728e-01,7.135812157287304558e-01,9.598214750892297698e-01,9.924249987133868522e-01,2.749010705902910634e-01,4.595794207270788578e-01,1.000000000000000000e+00
9.002682217550745936e-01,2.294206808626440552e-01,3.919124026433957741e-01,4.438109910308748463e-01,6.911625928274471864e-01,4.725115999820119761e-01,7.244908104296360341e-01,1.000000000000000000e+00
1.151142100702121418e+00,2.800667568642668803e-02,1.060514084690973302e-01,6.986186160716463256e-01,8.161908032234161947e-01,4.136333070388127919e-01,8.465688494771135275e-01,1.000000000000000000e+00
1.598624827356321276e+00,4.691477233013563453e-01,8.704715948994317110e-01,1.368837941509590816e+00,7.339440419482170519e-01,-6.376453928291860862e-01,1.065605148307825711e+00,1.000000000000000000e+00
8.598704269361799879e-01,8.047410272537071363e-02,2.524705948709438097e-02,4.818521631544264161e-01,7.646748655639539205e-01,3.218088338368588763e-01,8.867613360008006484e-01,1.000000000000000000e+00
1.340214186917441985e+00,7.379791249248952578e-01,-6.447758688084193057e-01,-3.213638153485198767e-02,9.969257658943657674e-01,1.305396240357192816e+00,6.460363910439587132e-01,2.000000000000000000e+00
1.021674375444648009e+00,3.126055839408762443e-02,7.373158492890463656e-02,1.260529874988283172e-01,7.980618871375995127e-01,1.180319925876448295e+00,4.096092461548810348e-01,2.000000000000000000e+00
1.583883450345388244e+00,1.852043460050283308e-01,-4.130803640402065380e-01,-8.983228995060608124e-01,3.739752250492667240e-01,-4.959089625724635297e-01,5.231205177886917301e-01,2.000000000000000000e+00
1.237625764711966614e+00,6.640738807819307477e-01,-9.787958941986805161e-01,-4.421779784772119637e-01,1.183560761276630124e+00,1.713213476864295259e+00,8.791106565173401055e-01,2.000000000000000000e+00
1.297868294906847630e+00,3.686794607880338193e-01,7.676014355844922310e-01,1.551923601939177111e+00,4.075099388856984750e-01,-1.020317298744749079e+00,1.112795968643212063e+00,1.000000000000000000e+00
1.391452654544049539e+00,-1.947469602915810616e-01,3.128212962468921443e-01,8.613690388432885259e-01,3.573696725283530551e-01,-5.545236053331659143e-01,9.413275037518296084e-01,1.000000000000000000e+00
